Company,Brief Description,Protein Category,Company Focus,Company type,Technology Focus,Product Type,Animal-Type Analog,Ingredient Type,Operating Regions,Country/Region,State,City,Website,Year Founded,Founders,Logo
FrieslandCampina,"Dutch multinational dairy cooperative that has launched plant-based milks. In 2023, launched plant-based chicken brand Tender'lish. ",Plant-based,Dairy,Diversified,End product formulation and manufacturing,Milk,,"Oat,Soy",Europe,Netherlands,,Amersfoort,https://www.frieslandcampina.com/,2008,,logo-fc-full.svg (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/QcJGwlvD4T2CPUPCLg1gJg/3NoUXMY_EU7sEQVX03jafbarHFapKR2We4esjw4V6urQD3bfEubNPmrl8UZSkK3wcvHkTciNz4_XZilRzQIaBii6zAD8ncxpdDgM-vE1eSX69M8CcBsprAb8Yd_2-y3Syp_6C5MeLLEuCG4i522zQw/eV0YpM7E0GmfxmNZvsW_3H9v6g9Vi-MoYndwlxTbM4E)
Finless Foods,U.S.-based company working on plant-based fish and cultivated blue fin tuna,"Cultivated,Plant-based","Meat,Seafood",Specialized (focused on alternative proteins),"Cell culture media,End product formulation and manufacturing",Whole muscle meat/seafood,Fish,,U.S. and Canada,United States,California,San Francisco,https://finlessfoods.com/,2017,"Mike Selden, Brian Wyrwas",Capture.JPG (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/bCOAjte-8SCA4mgQ22wQzg/gfZKmx-fXp5pnpMXEVRqBOPN8I2JoAlxd0my7ASaw12s3Gv7jhCBdkdJqFX7RxQPtpGJkD4_G8Qe1o_5BObpaaQKOxNQ9s4lQ-2c0F5DYZvF_wBgMRSGqtix3FWE2PxE_HLuZRYG0-6UONwdhFhRzQ/9-wsRwrfiNvO-dYXrCB7d3c_1SGNoPTNkOZLwYgRGp0)
Avant Meats,"Hong Kong-based company using proprietary biotechnology platform to produce cultivated fish products, including food, skincare, and other functional applications",Cultivated,"Meat,Seafood",Specialized (focused on alternative proteins),End product formulation and manufacturing,Ground meat/seafood,Fish,,Asia Pacific,Mainland China,,Hong Kong SAR ,https://www.avantmeats.com/,2018,"Carrie Chan, Mario Chin",tbnkq9whzxvh5fxpj6uj.png (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/A906hAJttwb9zFlVzA5-tA/mN-0vNJhl28e1yqyHw-vkPpgBWRyQNZ58wqCbpQ7sXw8s8PrVTwSRXkCjv4I4IzudFpeHbYaItVeWCgcbF385lKEMjAJfoRminQZwQ07EHT4mGn6c7fv_MALx8AUnrJ9TUqgztsi3TA3FrVHsj89w86JHCus1H3VEoQrmnfUu7s/C1bN4d_KuFZoBxKEnYn9N7pVBv5Yh8cnmyYACBPzZ4Y)
Upside Foods ,"U.S.-based cultivated meat startup producing beef, duck, and chicken product prototypes ",Cultivated,Meat,Specialized (focused on alternative proteins),"Cell line development,End product formulation and manufacturing",,"Duck,Beef/veal,Chicken",,U.S. and Canada,United States,California,San Leandro,http://www.memphismeats.com/,2015,"Uma Valeti, Nicholas Genovese, Will Clem",Horizontal_Black.png (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/b4KWZMoNVLWn3xHaSx-C8g/HMGzA1FEOH4iiGyyqgD1UadiMt65isDe7Yzmd1Ax1gZ5hITUO8bO_sRXJH13mZqFdIyhsV9VCUWL3x-8IFXPf036Zh1ho4IWdSwOc-TJWDtuzK0viTkPX2AKxoQ18QPve1EsLBKkolXZjOEBuTvFvQ/9huJpjQX10eNzKvUV9ZFwT18YN6Jbb2sCNGDxR7W4Dg)
BioTech Foods,"Spain-based startup producing cultivated meat products, acquired by Brazil-based JBS in 2021",Cultivated,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Ground meat/seafood,Beef/veal,,Europe,Spain,,San Sebastián,https://biotech-foods.com/,2017,Mercedes Vila Juarez,dko8ln1xykb67qgiek0w.png (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/-L_OpX1ThJd2ITI-m2JjLw/da3wRpTw98SUW7nKLrH5cFvcOssOLq97fWmdEa0YOT6vbvdLQHMAmrkpt6uEdMKRHaFeQEzWjaRFv6WLKhh98KMLxMKdM62EN26CtOaJkt5aSWDLXmr7QtZhFtUBUXEEov-_rKZL7VD3vA6UOI_2IneMQhj3s1KueFqUFgeEwaw/E4tXjCaDD61qF09nJX0Lwsb6tFKJGbRNVzJFLFlxfC0)
Aleph Farms,Israel-based company producing cultivated beef steak,Cultivated,Meat,Specialized (focused on alternative proteins),"End product formulation and manufacturing,Scaffolding and structure","Ground meat/seafood,Whole muscle meat/seafood",Beef/veal,,Africa/Middle East,Israel,,Rehovot,https://www.aleph-farms.com/,2017,"Didier Toubia, Prof. Shulamit Levenberg",fwhce84ehyiy1hxs6qro.png (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/7dIJKwOFdl5xz23hIpSdUA/EkR18yn8qzI-1bmVF9y3pxqou1DJg8KIg5NYbXHRXaqxDPWsPAsiYfYhgajvV5Y1uM86ADwRC33xjHvyeF7hTZaHSlmXWcdLCaNtgtuf9RbAAe_HCqQtHWvsXadSHoV3mnjZeYQhg0lcbgksCmOF4Xea4hwgVyIwgwuFL06gMWI/5OlnkIPG_dEQaEgOtFLdU_K8-qNLm0lNxj60X1dE7BA)
SCiFi Foods,U.S.-based start-up working on cultivated and cultured meat products (formerly Artemys Foods) ,Cultivated,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Ground meat/seafood,Beef/veal,,U.S. and Canada,United States,California,San Francisco,https://scififoods.com/,2019,"Jessica Krieger, Joshua March",ncvgvj1raxbf6q4zpkgv.png (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/IwXuczD9mTbo84RM91v9aw/43tdIJevMF0_ggXWJ9SJRJbZ0HMffsM_sCz8SbxdldMaDwHFVbeQ7B6_GkPcsvmvdQXhF-1ou534TD2aY_fJDd23fZvr8nBqcuxDYhEGARi7jr-Bou-heEjYN63OKfoGqrYRz_-PF90XwGP8YqJsHbOYScRFM68PTQqmLVGPPT0/rSgXjtGCjzouH64jIE1J9Su3GvVuxCl79H1shy2atZc)
Matrix F.T. ,Startup making 3D nanofiber tubes for cultivated meat production.,Cultivated,Meat,Specialized (focused on alternative proteins),Scaffolding and structure,,,,U.S. and Canada,United States,Ohio,Dublin,https://www.matrixmeats.com/,2019,Flavio Lobato,MATRIXFT_Logo.jpeg (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/IBHPCBl8yC3HIbpQMfd0Ag/h67nvgIeVlWP9gdK-dnOl-XI9p3jcBXDFxkpLz-PoxiY65988CfODLbSOJu-GGZ9i5sjCUt80tIoL4EQZY8KCYjVMj1G2-Ns1WVBar380uLx1Zg5H_sl6pGoz8oRCLHCnh7NXNtCBr2VcnDtDbYHxQ/bzL8SXvRRsZX9sj-k4TFweI8mywOXoREA-mj5MZaTCE)
Shiok Meats,"Singapore-based company producing cultivated seafood, including crustaceans like shrimps, crabs, and lobsters",Cultivated,Seafood,Specialized (focused on alternative proteins),End product formulation and manufacturing,Whole muscle meat/seafood,"Fish,Shellfish,Crab",,Asia Pacific,Singapore,,Singapore,https://shiokmeats.com/,2018,"Sandhya Sriram, Ka Yi Ling",Screen Shot 2021-02-08 at 2_19_19 PM.png (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/H8NSD69LsjNY20rNTD0rFA/7QR1HXptgpr7wukrOHBz5jDagdesLdJe3t9uWZ9vduzfPR99iRmQNzuaqZu7xhI6xI08J49gUbaarXB21pM3J-GETAffctAtsIb3jjihcMrnVr1s5fyRKac6fg-GfzTmWOxxWVNcjvhGd_u0Uf-cAZWvFHKkx71mh1yA1owMnQw/Pis1SzkBLjU8UvbOJc7EFzLQxYUW5wWSeuqsWTJmJTw)
Newform Foods ,"Formerly known as Mzansi Meat Co., Newform Foods' mission is to reinvent food systems for the benefit of our planet, our health and the lives of animals.",Cultivated,Meat,Specialized (focused on alternative proteins),"Cell culture media,End product formulation and manufacturing",Whole muscle meat/seafood,"Beef/veal,Chicken",,Africa/Middle East,South Africa,,Cape Town,https://newformfoods.co.uk/,2020,"Jay Van Der Walt, Brett Thompson",Screenshot 2023-08-25 at 2.54.40 PM.png (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/ttGErQA0zHCHCoRjdMnyBg/I3V588EDtEUfWv6m8po_bhEeOgFWgBaz91wlj2QEVY58j3GWojuDncUSKYDAIHtcox_6ys9sMKTGGJC4EQhWrR9mFDR1mSuLWLTHbuv4Ma1x-4zM0lBCwaMdl0KmcINQSrKlDMolbL0Vx_kpuIdOtsRNSjbR26FJ0VcvRiD_57M/17msF2Cex2lLYbvOH4T4DdiGX5-K85DEYOnixmZAoaM)
Vivera,"Over 40 varieties of plant-based meat, including plant-based steak which is sold at Tesco.",Plant-based,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Ground meat/seafood,,Soy,Europe,Netherlands,,Holten,https://vivera.com/,1990,Alfredo Pina,Screen Shot 2021-01-08 at 9_26_07 PM.png (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/Ow-1w9vI2yRggoF7NNwI-w/MFfQIbgtc_nrsddmNOkFllnFMJNdHVvt8zxKBDq7D154i3_cM3u2Ku2GKBYF74htsE54YnTyu34NmisEtozVgzAyxEKtzmkilUv7OPphNaIZA3oBi9Mh00n80XZRpcLBKFs4rvg35o4nyZ92-WCE3rcLea3y0J6xOZejfBEJyVc/ZJG9_9CNHzrQpp4_F3AkhNycJ1kkmctFk7UeC5k9ZyA)
GOURMEY - Suprême SAS,"France-based company producing  restaurant-grade meats directly from animal cells, starting with cultivated foie gras",Cultivated,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Other meat/seafood,Duck,,Europe,France,,Paris,https://www.gourmey.com/,2019,"Nicolas Morin-Forest, Antoine Davydoff, Victor Sayous",Gourmey_Logo_Grey_Yellow-01.png (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/JrIb65hLAsheNlIGcQj5Sg/MCn8zCld7WcMmWMDwtpI9JnB_o1sXvR2VnicrdBaaUP0CFYzI40n3ER2WK4JzEeDYBl4iXeg_rzs5qVMjPq1vdqVPtJqyPGJx8D5-AnbHcgR7o0czWcZVOrFI5pu_KTo0S_8QBjnZQmLXtb5gyo2FgFsPxEDMyCIAEXpANdUkZQ/41MwMNPbGNled0GK5gA0Hq6FaM4nX8ve6kZeWUKUq-s)
Steakholder Foods,Israel-based company producing 3D printed cultivated meat; collaborating with Umami Meats. (Formerly known as MeaTech 3D),Cultivated,"Meat,Bioprocessing infrastructure and equipment",Specialized (focused on alternative proteins),"Scaffolding and structure,End product formulation and manufacturing,Cell line development,Bioprocess design","Whole muscle meat/seafood,Ground meat/seafood,Other",Beef/veal,,Africa/Middle East,Israel,,Rehovot,https://steakholderfoods.com/,2019,,Meatech-menu-logo-02.png (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/cH3-RuTKKLILo80jeRKtFg/5iW6WMIBYYVfCqDAQMoDCUZahFuTFzB2MvUvvyyc17PerKdKBrbWTjq3IjK0rMoFMMCYnixtbcttssP2F6dkmRPFsWrfBIfAMem5nPGA-XpazAOySyV_1NShtNZ9mD5j2tD09hgt24DGqeov-Y9jtnYAMX0aaBtickyTJQeTYWs/8LDccfTjn2arkboYSL7_MBoaoP0z13UKO_qjJhOWHmw)
TurtleTree,Singapore-based company developing cultivated dairy products.,Cultivated,Dairy,Specialized (focused on alternative proteins),"Cell culture media,Cell line development,End product formulation and manufacturing",Milk,,,Asia Pacific,Singapore,,Singapore,https://turtletreelabs.com/,2019,"Fengru Lin, Mkulima Britt, Max Rye",ftLogo.png (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/PdzWYMv79tmPnvGe2b58Yg/s625lMKR3Z7zciV0AOzDCuof5xjPtwhuo6U9ZrSKt93N-QArGMC1TDl69VlERk8IdeCd4O6cedfc1vgndOSx6yXVkwr2dtGlZ30-PWmBFWbJEDlrZW7C6juRhGiJOOE1n7U8K3XDPJL7S2HRFYLG4w/18a9Yn8SKgcbFMzuHwaZZPrt8443TziwQRyy2LKhbAU)
Biomilq,U.S.-based startup producing cultivated human breast milk for infants,Cultivated,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,Milk,,,U.S. and Canada,United States,North Carolina,Durham,https://www.biomilq.com/,2019,"Michelle Egger, Leila Strickland",BIOMILQ_logo_P_2022.png (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/ixusgvguytui8rYjwi-j4A/Y8YEIGLu44ooLmij6vWBYc1InPgXjaUvRUg8OO651uIgaToEUo1oWIrOmobK9p1INu8sAEPBCUs1gx_zTXeEay362z7KcZ-Zl7FdRnGOKV81O9dZtYQCPjAC96NbfEQa6T6-4aX_udpRbgAWBndsgr-EPlK63hV9yQwQ-GGoImw/mPE-2rCnRT1wfIKgYfrgV5i_ZFnybg9sLoQDfEOLtVQ)
Innocent Meat,"Germany-based company providing meat processors with an automated end-to-end clean meat production system, allowing producers of conventional meat to update supply chain and produce cultivated meat.","Cultivated,Precision fermentation",Meat,Specialized (focused on alternative proteins),"Bioprocess design,Target molecule selection",Ground meat/seafood,,,Europe,Germany,,Rostock,http://www.innocent-meat.com/,2018,"Laura Gertenbach, Philipp Wolters",knst27jsbrv16robppeu.png (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/SlP9WOweMm5dLBLC7qt99g/nCfYzgF22scyeQLBWiqxwBhS0YIUBY-ugC8MadCDPfYHO406snA7BsqcJ3Y38PHMShTsQiHg2NiLDNS1yTKbDg1Pi96A27_lxvk8pwj2XFbVs73KBSonV5DEqt3CiwDBVqTioZnDCWVkO5r0cWYY15ZdcQzeCNddsaz1r5eS1Vk/NxfLPi0aLUCoXdbaZhB_zcEoFTpISDXo0MxN3GjKWus)
Biftek,Turkey-based start-up working on cultivated meat and serum free cell culture media,Cultivated,Meat,Specialized (focused on alternative proteins),Cell culture media,,Beef/veal,,U.S. and Canada,Turkey,,Gölbaşı,http://biftek.co/,2020,"Can Akcali, Erdem Erikci",rpcu5xfvpzpfv5tl6oun.png (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/219joesfMYB5nCqN6HYreQ/YVQMUja_8mUnzVv4WNZu6VWb7UWE-v7-gHRba1nh7MU0dAYKr5TzzeF9qDP-r_1mHzPT63IN9ZuHFZRUvx5Qk7IAhUI0vm-sGvSYNI1F4yOXXlQCZQm0nUwwGd_9A54pOwt55mnpZWF-Vl1lbdYo6ORtHFCN5F7gj3SwmvUd5Fg/hrIdi5wlxbSrP2RsO6P9LZV5forwYIWyqwFscKJfiuw)
Mission Barns,"U.S.-based startup working on cultivated meat, currently offering Kosher Bacon",Cultivated,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Whole muscle meat/seafood,Pork,,U.S. and Canada,United States,California,San Francisco,https://www.missionbarns.com/,2018,"Eitan Fischer, David Bowman",Capture.JPG (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/FBI1saWDaMqHt0i261XOMg/-rz3mmrKwWX7UWP5SZsZ_ea2gz536xuIPuYU-u-jaFc7Dmpzg30mdwJ-qvYeR5v9Lqlo04gu4Qr3m0qJgz5VseE2fR2n4JhufWs0v9XlFoAuJRHqQfI-rA-Wzpn2f9h2wN2gBT99_TCVlkSXyB-q_A/nrcedmVXqxbJMxvVQRWNs-ecIRsnXijjUSNH0d6AIiA)
